"date","store","county","vendor","description","bottle_qty","btl_price","total"
"2014-01-02 00:00:00",2633,"Polk","Proximo","1800 Silver Tequila",12,"$23.19","278.28"
"2014-01-02 00:00:00",2633,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",6,"$30.37","182.22"
"2014-01-02 00:00:00",2633,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",96,"$18.74","1799.04"
"2014-01-02 00:00:00",2633,"Polk","Sazerac North America","Montezuma Gold Tequila",24,"$10.53","252.72"
"2014-01-02 00:00:00",2633,"Polk","The Patron Spirits Company","Patron Tequila Silver",24,"$40.50","972.00"
"2014-01-02 00:00:00",2663,"Polk","Diageo Americas","Don Julio 1942",2,"$91.74","183.48"
"2014-01-02 00:00:00",2663,"Polk","Jim Beam Brands","Sauza Cien Anos Reposado",12,"$15.00","180.00"
"2014-01-02 00:00:00",2663,"Polk","Monsieur Henri Wines Ltd.","Margaritaville Gold Tequila",12,"$11.27","135.24"
"2014-01-02 00:00:00",2663,"Polk","Santa Fe Tequila Company","Silvercoin",6,"$30.32","181.92"
"2014-01-02 00:00:00",2663,"Polk","The Patron Spirits Company","Patron Silver Tequila",2,"$21.00","42.00"
"2014-01-02 00:00:00",2665,"Dallas","LUXCO","Juarez Tequila Gold",6,"$19.50","117.00"
"2014-01-02 00:00:00",2665,"Dallas","Sazerac Co. Inc.","Tortilla Gold Tequila",12,"$9.40","112.80"
"2014-01-02 00:00:00",2806,"Clinton","E AND J GALLO WINERY","Familia Camarena Reposado",12,"$15.00","180.00"
"2014-01-02 00:00:00",2806,"Clinton","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",2844,"Johnson","Jim Beam Brands","Sauza Blanco Silver",12,"$13.40","160.80"
"2014-01-02 00:00:00",2844,"Johnson","Proximo","Jose Cuervo Especial Reposado Tequila",2,"$30.37","60.74"
"2014-01-02 00:00:00",2846,"Linn","Jim Beam Brands","Sauza Blanco Silver",3,"$13.40","40.20"
"2014-01-02 00:00:00",2846,"Linn","Jim Beam Brands","Sauza Gold",3,"$13.40","40.20"
"2014-01-02 00:00:00",2953,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",2,"$15.73","31.46"
"2014-01-02 00:00:00",2954,"Polk","Proximo","Jose Cuervo Tradicional Reposado Tequila",3,"$22.35","67.05"
"2014-01-02 00:00:00",2956,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",3437,"Warren","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$18.74","224.88"
"2014-01-02 00:00:00",3565,"Johnson","LUXCO","Juarez Tequila Gold",3,"$9.38","28.14"
"2014-01-02 00:00:00",3565,"Johnson","Monsieur Henri Wines Ltd.","Margaritaville Silver Tequila",5,"$11.27","56.35"
"2014-01-02 00:00:00",3565,"Johnson","Proximo","Jose Cuervo Especial Silver",4,"$15.73","62.92"
"2014-01-02 00:00:00",3565,"Johnson","The Patron Spirits Company","Patron Reposado Tequila",1,"$42.00","42.00"
"2014-01-02 00:00:00",3666,"Linn","Proximo","Jose Cuervo Especial Reposado Tequila",6,"$30.37","182.22"
"2014-01-02 00:00:00",3666,"Linn","Proximo","Jose Cuervo Especial Silver",12,"$15.73","188.76"
"2014-01-02 00:00:00",3678,"Polk","Proximo","Jose Cuervo Especial Reposado Square",12,"$8.25","99.00"
"2014-01-02 00:00:00",3692,"Linn","Brown-Forman Corporation","El Jimador Blanco Tequila",3,"$16.73","50.19"
"2014-01-02 00:00:00",3692,"Linn","Heaven Hill Distilleries Inc.","El Conquistador Blanco Tequila DNO",36,"$25.14","905.04"
"2014-01-02 00:00:00",3692,"Linn","Jim Beam Brands","Hornitos Gold",12,"$23.61","283.32"
"2014-01-02 00:00:00",3692,"Linn","Jim Beam Brands","Sauza Gold",12,"$17.32","207.84"
"2014-01-02 00:00:00",3692,"Linn","LUXCO","Juarez Tequila Gold",60,"$10.00","600.00"
"2014-01-02 00:00:00",3692,"Linn","LUXCO","Juarez Tequila Silver",12,"$10.00","120.00"
"2014-01-02 00:00:00",3692,"Linn","Proximo","1800 Reposado Tequila",3,"$23.19","69.57"
"2014-01-02 00:00:00",3692,"Linn","Proximo","Jose Cuervo Especial Reposado Tequila",24,"$18.74","449.76"
"2014-01-02 00:00:00",3692,"Linn","The Patron Spirits Company","Patron Reposado Tequila",3,"$42.00","126.00"
"2014-01-02 00:00:00",3692,"Linn","The Patron Spirits Company","Patron Tequila Silver",24,"$40.50","972.00"
"2014-01-02 00:00:00",3692,"Linn","WILLIAM GRANT AND SONS INC.","Milagro Silver Tequila",6,"$23.54","141.24"
"2014-01-02 00:00:00",3698,"Polk","Brown-Forman Corporation","El Jimador Blanco Tequila",12,"$16.73","200.76"
"2014-01-02 00:00:00",3698,"Polk","Diageo Americas","Don Julio Reposado",1,"$42.75","42.75"
"2014-01-02 00:00:00",3698,"Polk","Proximo","Jose Cuervo Especial Reposado Flask",3,"$8.25","24.75"
"2014-01-02 00:00:00",3698,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",4,"$4.49","17.96"
"2014-01-02 00:00:00",3698,"Polk","Proximo","Jose Cuervo Especial Silver",1,"$15.73","15.73"
"2014-01-02 00:00:00",3756,"Carroll","Proximo","Jose Cuervo Especial Reposado Flask",2,"$8.25","16.50"
"2014-01-02 00:00:00",3756,"Carroll","Proximo","Jose Cuervo Especial Reposado Tequila",1,"$18.74","18.74"
"2014-01-02 00:00:00",3756,"Carroll","Proximo","Jose Cuervo Especial Reposado Tequila",2,"$15.73","31.46"
"2014-01-02 00:00:00",3769,"Black Hawk","Proximo","Jose Cuervo Especial Silver",12,"$15.73","188.76"
"2014-01-02 00:00:00",3772,"Polk","Jim Beam Brands","Hornitos Plata",3,"$19.68","59.04"
"2014-01-02 00:00:00",3772,"Polk","Proximo","Jose Cuervo Especial Reposado Square",12,"$8.25","99.00"
"2014-01-02 00:00:00",3772,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",3773,"Linn","Aveniu Brands","Kah Reposado",3,"$44.01","132.03"
"2014-01-02 00:00:00",3773,"Linn","Jim Beam Brands","Hornitos Plata",12,"$19.68","236.16"
"2014-01-02 00:00:00",3773,"Linn","LUXCO","Juarez Tequila Gold",12,"$10.00","120.00"
"2014-01-02 00:00:00",3773,"Linn","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$18.74","224.88"
"2014-01-02 00:00:00",3773,"Linn","The Patron Spirits Company","Patron Tequila Silver",12,"$40.50","486.00"
"2014-01-02 00:00:00",3773,"Linn","Trinchero Family Estates","Cruz Del Sol Reposado",3,"$40.76","122.28"
"2014-01-02 00:00:00",3785,"Polk","LUXCO","Juarez Tequila Gold",2,"$10.00","20.00"
"2014-01-02 00:00:00",3785,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila Mini",2,"$17.25","34.50"
"2014-01-02 00:00:00",3785,"Polk","The Patron Spirits Company","Patron Silver Tequila",1,"$12.75","12.75"
"2014-01-02 00:00:00",3791,"Greene","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",3829,"Linn","LUXCO","Juarez Tequila Silver",3,"$9.38","28.14"
"2014-01-02 00:00:00",3829,"Linn","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",3829,"Linn","Proximo","Jose Cuervo Tradicional Reposado Tequila",1,"$22.35","22.35"
"2014-01-02 00:00:00",3896,"Johnson","The Patron Spirits Company","Patron Tequila Silver Mini",1,"$30.45","30.45"
"2014-01-02 00:00:00",3909,"Marion","Brown-Forman Corporation","El Jimador Blanco Tequila",3,"$16.73","50.19"
"2014-01-02 00:00:00",3920,"Clinton","Monsieur Henri Wines Ltd.","Margaritaville Gold Tequila",1,"$11.27","11.27"
"2014-01-02 00:00:00",3920,"Clinton","Proximo","Jose Cuervo Especial Reposado Tequila",3,"$4.49","13.47"
"2014-01-02 00:00:00",3920,"Clinton","Proximo","Jose Cuervo Especial Reposado Tequila Mini",1,"$17.25","17.25"
"2014-01-02 00:00:00",3920,"Clinton","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",3925,"Iowa","Brown-Forman Corporation","El Jimador Anejo Tequila",6,"$19.34","116.04"
"2014-01-02 00:00:00",3925,"Iowa","Diageo Americas","Don Julio Blanco Tequila",6,"$39.00","234.00"
"2014-01-02 00:00:00",3925,"Iowa","Pernod Ricard USA/Austin Nichols","Tequila Avion Silver",6,"$37.49","224.94"
"2014-01-02 00:00:00",3926,"Johnson","The Patron Spirits Company","Patron Anejo",1,"$46.50","46.50"
"2014-01-02 00:00:00",3926,"Johnson","The Patron Spirits Company","Patron Reposado Tequila",3,"$42.00","126.00"
"2014-01-02 00:00:00",3926,"Johnson","The Patron Spirits Company","Patron Tequila Silver",12,"$40.50","486.00"
"2014-01-02 00:00:00",3993,"Black Hawk","Brown-Forman Corporation","El Jimador Anejo Tequila",2,"$19.34","38.68"
"2014-01-02 00:00:00",3993,"Black Hawk","Proximo","1800 Silver Tequila",4,"$23.19","92.76"
"2014-01-02 00:00:00",4075,"Black Hawk","Proximo","1800 Silver Tequila",12,"$23.19","278.28"
"2014-01-02 00:00:00",4075,"Black Hawk","The Patron Spirits Company","Patron Tequila Silver Mini",2,"$30.45","60.90"
"2014-01-02 00:00:00",4108,"Polk","Proximo","Jose Cuervo Especial Reposado Square",12,"$8.25","99.00"
"2014-01-02 00:00:00",4126,"Johnson","Proximo","Jose Cuervo Especial Reposado Tequila Mini",3,"$17.25","51.75"
"2014-01-02 00:00:00",4132,"Clinton","Proximo","Jose Cuervo Especial Reposado Tequila",6,"$30.37","182.22"
"2014-01-02 00:00:00",4138,"Warren","Proximo","1800 Silver Tequila",2,"$23.19","46.38"
"2014-01-02 00:00:00",4138,"Warren","Sazerac Co. Inc.","Tortilla Gold Tequila",4,"$9.40","37.60"
"2014-01-02 00:00:00",4139,"Polk","Brown-Forman Corporation","El Jimador Blanco Tequila",3,"$16.73","50.19"
"2014-01-02 00:00:00",4139,"Polk","The Patron Spirits Company","Patron Tequila Silver Mini",1,"$30.45","30.45"
"2014-01-02 00:00:00",4140,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",4158,"Carroll","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",4161,"Johnson","Monsieur Henri Wines Ltd.","Margaritaville Gold Tequila",12,"$11.27","135.24"
"2014-01-02 00:00:00",4186,"Polk","Brown-Forman Corporation","El Jimador Reposado Tequila",2,"$16.73","33.46"
"2014-01-02 00:00:00",4186,"Polk","Jim Beam Brands","Hornitos Gold",1,"$23.61","23.61"
