"item_no","item_description","vendor_name","proof","case_cost","pack"
89908,"Vince Neil Tres Rios Reposado Tequila","Aveniu Brands","80","138.00",6
89916,"Tortilla Gold Tequila","Sazerac Co. Inc.","80","74.38",12
89917,"Tortilla Gold Tequila","White Rock Distilleries Inc.","80","84.72",12
89918,"Tortilla Gold Tequila","White Rock Distilleries Inc.","80","76.96",6
89926,"T. Q. Hot Tequila Gold","Allied Domecq Spirits And Wine Usa","70","121.13",12
89930,"Vince Neil Tres Rios Anejo Tequila","Aveniu Brands","80","156.00",6
89936,"Vince Neil Tres Rios Reposado Tequila","Aveniu Brands","80","138.00",6
89946,"Two Fingers Gold Tequila","Heaven Hill Distilleries Inc.","80","81.90",12
89966,"Wild Shot Reposado","Shaw Ross International Importers Ll","43","168.40",6
89986,"Viuda De Romero Anejo Tequila","Pernod Ricard Usa/austin Nichols","80","147.27",12
89990,"Viuda De Romero Reposado Tequila","Pernod Ricard Usa/austin Nichols","80","128.08",12
901230,"Tres Agaves Reposado","Trinchero Family Estates","80","106.00",6
901270,"Grand Mayan Extra Anejo Tequila","Liquor Group Wholesale","80","358.00",6
901330,"Herradura Reposado Buy the Barrel","Brown-forman Corporation","80","413.96",12
901420,"Fat Ass Blanco","Liquor Group Wholesale","80","125.70",6
901480,"Fat Ass Reposado","Liquor Group Wholesale","80","147.00",6
901540,"Fat Ass Anejo","Liquor Group Wholesale","80","219.00",6
901885,"Tequila Tapatio Blanco","Domaine Charbay","80","238.00",12
901886,"Tequila Tapation Reposado","Domaine Charbay","80","265.00",12
901915,"Roger Clynes Mexican Moonshine Silver Tequila","Mhw Ltd","80","150.00",6
901916,"Roger Clynes Mexican Moonshine Reposado","Mhw Ltd","80","180.00",6
901917,"Roger Clynes Mexican Moonshine Anejo","Mhw Ltd","80","196.00",6
902000,"El Tesoro Paradiso Anejo","Jim Beam Brands","80","375.96",6
902001,"La Certeza Reposado Tequila","Heaven Hill Distilleries Inc.","80","140.00",6
902013,"Sauza Hornitos Anejo","Jim Beam Brands","80","201.86",12
902066,"La Certeza Anejo Tequila","Heaven Hill Distilleries Inc.","80","190.00",6
902068,"Clase Azul Reposado Tequila","Tequilas Premium Inc.","80","374.00",6
902084,"Milagro Tequila Sbr Anejo","William Grant And Sons Inc.","80","298.50",6
902114,"Don Julio Anejo Mini","Diageo Americas","80","120.02",6
902147,"Tequila Solo Blanco","Vital Beverages","80","137.00",6
902151,"Don Eduardo Silver Tequila","Brown-forman Corporation","80","134.95",6
902152,"Sauza Cien Anos Blanco","Jim Beam Brands","80","126.88",12
902168,"Tenoch Reposado Tequila","Pacific Edge Wine & Spirits","80","197.50",6
902176,"Matador Gold Tequila","Proximo","80","77.95",12
902178,"Tequila Solo Reposado","Vital Beverages","80","152.00",6
902181,"Zafarrancho Tequila","Total Beverage Solutions","80","130.00",6
902202,"Gran Centenario Plata","Proximo","80","324.02",12
902213,"Scorpion Mezcal Anejo 1 Year","Park Street Imports- Caballeros","80","312.00",12
902214,"El Jimador Anejo Tequila","Brown-forman Corporation","80","104.53",6
902228,"La Certeza Blanco Tequila","Heaven Hill Distilleries Inc.","80","130.00",6
902261,"El Mayor Anejo Tequila","Luxco-st Louis","80","136.33",6
902264,"El Charro Reposado","Sazerac Co. Inc.","80","160.00",12
902266,"Sauza Tres Generaciones Reposado","Jim Beam Brands","80","110.22",6
902270,"El Mayor Reposado Tequila","Luxco-st Louis","80","66.48",6
902271,"El Charro Anejo Tequila","Sazerac Co. Inc.","80","135.00",6
902287,"Espolon Silver Tequila","Shaw Ross International Importers Ll","80","138.20",6
902301,"Margaritaville Blanco","Monsieur Henri Wines Ltd.","80","96.00",12
902328,"Juarez Gold Tequila","Luxco-st Louis","80","105.77",48
902330,"Juarez Gold Tequila","Luxco-st Louis","80","86.88",24
902334,"Herradura Blanco 92 Prf","Brown-forman Corporation","92","276.98",12
902354,"Hacienda Vieja Blanco","Marsalle Company/stoller Warehouse","80","194.00",12
902358,"Casadores Anejo","Bacardi U.s.a. Inc.","80","140.84",6
902369,"Don Julio 1942","Diageo Americas","80","366.95",6
902375,"Don Julio Real","Diageo Americas","80","1121.64",6
902381,"Mico Gold Tequila","The Patron Spirits Company","80","109.00",12
902394,"1800 Tequila Reposado","Proximo","80","107.49",12
902398,"267 Tequila Chili Peppers","Mhw Ltd","42","66.50",6
902419,"El Tesoro Platinum Tequila","Jim Beam Brands","80","157.44",6
902421,"El Tesoro Anejo Tequila","Jim Beam Brands","80","173.22",6
902433,"Juarez Silver Tequila","Luxco-st Louis","80","86.88",24
902441,"La Prima Vanilla Tequila","Luxco-cleveland","60","40.00",12
902446,"Jose Cuervo Reserva De La Familia","Proximo","80","187.43",3
902462,"Sauza Hornitos Plata","Jim Beam Brands","80","185.92",12
902471,"Chamucos Tequila","Vital Beverages","80","310.00",12
902479,"Monte Alban Mezcal Minis","Sazerac North America","80","154.98",10
902495,"Chinaco Anejo Tequila","Anchor Distilling (preiss Imports)","80","215.00",6
902507,"Dos Tiranos Mezcal","Luxco-st Louis","80","112.58",12
902509,"Partida Tequila Reposado","Partida Tequila","80","180.00",6
