"item_no","item_description","vendor_name","proof","case_cost","pack"
989089,"Centinela Anejo Tequila","Phillips Beverage Company","80","171.80",6
989157,"Centinela Reposado Tequila","Phillips Beverage Company","80","149.80",6
989177,"Casamigos Reposado","Sidney Frank Importing Co.","40","167.00",6
989191,"Cuervo Especial Gold Tequila P.e.t.","Proximo","80","93.87",120
989200,"Don Julio 70th Anniversary","Diageo Americas","80","194.49",6
989204,"1800 Reposado Tequila","Proximo","80","108.20",12
989210,"Jose Cuervo La Reserva de la Familia","Proximo","80","225.00",3
989221,"Del Maguey Vida Mezcal","Monsieur Henri Wines Ltd.","84","108.00",6
989286,"Espolon Tequila Reposado","Campari(skyy)","80","80.94",6
989315,"Gran Centenario Leyenda Tequila","Proximo","80","384.60",3
989411,"Del Maguey Chichicapa Tequila","Monsieur Henri Wines Ltd.","92","210.00",6
989451,"Kah Tequila Anejo Mini","Aveniu Brands","80","297.00",48
989453,"Kah Tequila Anejo","Aveniu Brands","80","235.00",6
989457,"Hacienda Vieja Reposado","Marsalle Company/stoller Warehouse","80","208.00",12
989469,"Lunazul Reposado Mini","Heaven Hill Distilleries Inc.","80","64.00",6
989475,"Lunazul Anejo","Heaven Hill Distilleries Inc.","80","66.10",6
989482,"El Zarco Gold Tequila","Proximo","80","92.00",12
989488,"Maestro Dobel Tequila","Proximo","80","147.98",6
989489,"Kah Tequila Reposado Mini","Aveniu Brands","80","267.00",48
989490,"KAH Tequila Reposado","Aveniu Brands","110","213.00",6
989505,"Jarana Reposado Tequila","Mhw Ltd","80","89.88",12
989530,"Familia Camarena Reposado Mini","E And J Gallo Winery","80","59.94",6
989561,"Monte Alban Mezcal Minis","Sazerac North America","80","117.50",120
989568,"Monte Alban Reposado Tequila","Sazerac North America","80","118.48",12
989619,"Sauza Cien 100 Anos Reposado","Jim Beam Brands","80","119.64",6
989624,"Patron Reposado","The Patron Spirits Company","80","177.00",12
989640,"Patron Gran Piedra","The Patron Spirits Company","80","780.00",4
989644,"Patron Anejo","The Patron Spirits Company","80","201.00",12
989646,"Patron Anejo Barrel Select Program","The Patron Spirits Company","80","319.93",12
989771,"Rancho Alegre Reposado Tequila","Sans Wine And Spirits Co","80","86.00",12
989811,"Sauza Conmemorativo 50 Ml. Shooters","Domecq Importers Inc.","80","82.93",60
989829,"100 Anos Anejo","Jim Beam Brands","80","144.84",12
989966,"Wild Shot Reposado","Shaw Ross International Importers Ll","87","169.14",6
993526,"Patron 50ml Tri-Pack","The Patron Spirits Company","60","217.50",20
993771,"Patron XO Cafe/Silver mini","The Patron Spirits Company","60","297.50",30
3655,"Herradura Silver","Brown-forman Corporation","80","125.62",6
3656,"Herradura Anejo","Brown-forman Corporation","80","168.25",6
3657,"Herradura Gold Reposado 6pak","Brown-forman Corporation","80","141.45",6
3676,"Herradura Blanco Silver 6x6 Tequila","Brown-forman Corporation","80","239.24",12
3678,"Herradura Gold Reposado 6x6 Tequila","Brown-forman Corporation","80","271.08",12
5048,"The Glenlivet Nadurra Triumph 1991","Pernod Ricard Usa/austin Nichols","96","248.44",6
64613,"Jose Cuervo Cinge Mini","Proximo","70","137.99",12
64615,"Jose Cuervo Cinge","Proximo","70","126.88",12
64781,"Jose Cuervo Tropina","Proximo","80","68.99",6
64782,"Jose Cuervo Tropina","Proximo","80","121.15",12
64802,"Jose Cuervo Citrico (no Longer Produced)","Proximo","80","121.15",12
64805,"Jose Cuervo Citrico","Proximo","80","68.99",6
64806,"Jose Cuervo Oranjo","Proximo","80","121.15",12
64808,"Jose Cuervo Oranjo","Proximo","80","68.99",6
64930,"1800 Coconut Mini","Proximo","70","19.80",6
64933,"1800 Coconut","Proximo","70","185.49",12
66177,"Peligroso Cinnamon Mini","Diageo Americas","70","35.99",8
66178,"Peligroso Cinnamon","Diageo Americas","70","68.97",6
67031,"Tarantula Azul Citrus Flavored Tequila","Mccormick Distilling Company","80","120.00",10
67036,"Tarantula Azul Citrus Flavored Tequila","Mccormick Distilling Company","80","160.00",12
67196,"Twisted Sheilas Lime Tequila","Constellation Wine Company Inc.","70","92.72",12
75307,"Laprima Vanilla Tequila","Luxco-cleveland","60","87.92",12
802114,"Don Julio Anejo Mini","Seagram Americas","80","119.87",60
803316,"Cabo Wabo Tequila Minis","Campari(skyy)","80","141.25",60
803319,"Margaritaville Oro Mini","Monsieur Henri Wines Ltd.","80","106.08",120
864781,"Jose Cuervo Tropina","Proximo","80","61.39",60
864805,"Jose Cuervo Citrico","Proximo","80","61.39",60
864808,"Jose Cuervo Oranjo","Proximo","80","61.39",60
87150,"Avion Silver","Pernod Ricard Usa/austin Nichols","80","149.94",6
87152,"Avion Silver","Pernod Ricard Usa/austin Nichols","80","143.64",12
87227,"Beamero White Tequila","Jim Beam Brands","80","65.84",12
87228,"Beamero White Tequila","Jim Beam Brands","80","54.12",6
87250,"Cabo Wabo Blanco","Campari(skyy)","80","80.50",6
87256,"Cabrito Blanco","Phillips Beverage Company","80","131.80",12
87266,"Casa Noble Blanco Tequila","Wilson Daniels Ltd.","80","124.60",6
87280,"Casamigos Blanco","Sidney Frank Importing Co.","80","161.00",6
87335,"Chinaco Blanco Artisian Handblown Tequila","Jim Beam Brands","80","131.83",6
87380,"Corazon De Agave Blanco Tequila","Monsieur Henri Wines Ltd.","80","157.70",6
87381,"Corazon De Agave Blanco Tequila","Sidney Frank Importing Co.","80","118.00",6
87383,"Corazon de Agave Tequila Blanco","Monsieur Henri Wines Ltd.","80","72.00",6
87385,"Corralejo Silver","Wilson Daniels Ltd.","80","82.90",6
87396,"Corzo Silver","Bacardi U.s.a. Inc.","80","155.84",6
87398,"Cruz Del Sol Silver","Trinchero Family Estates","80","151.00",6
87403,"Jose Cuervo Especial Silver","Proximo","80","131.85",24
87406,"Jose Cuervo Platino Reserva De La Familia","Proximo","80","44.99",6
87408,"Jose Cuervo Especial Silver","Proximo","80","125.87",12
87409,"Jose Cuervo Especial Silver","Proximo","80","149.95",12
87410,"Jose Cuervo Especial Silver","Proximo","80","121.49",6
87416,"Jose Cuervo Tradicional Silver","Proximo","80","131.95",12
87426,"Jose Cuervo Classico","Proximo","80","125.87",12
87428,"Jose Cuervo Classico","Proximo","80","121.49",6
87436,"Jose Cuervo White Tequila","Proximo","80","121.55",12
87437,"Jose Cuervo White Tequila","Proximo","80","150.35",12
87448,"DeLeon Platinum","Diageo Americas","80","180.00",6
87460,"Don Eduardo Silver Tequila","Brown-forman Corporation","80","134.95",6
87485,"Don Julio Blanco Tequila","Diageo Americas","80","158.94",6
87496,"Dos Gusanos Mezcal","Luxco-st Louis","80","96.48",12
87506,"Gran Centenario Plata White","Proximo","80","324.02",12
87509,"1800 Silver Tequila","Proximo","80","107.49",12
87510,"1800 Silver Tequila","Proximo","80","185.49",12
87511,"1800 Silver","Proximo","80","92.75",6
87513,"1800 Silver Tequila","Proximo","80","134.96",6
87538,"1800 Essential Artist Series","Proximo","80","166.09",12
87539,"1800 Essential Tequila","Proximo","80","86.97",6
87546,"El Conquistador Blanco","Heaven Hill Distilleries Inc.","80","98.45",6
87586,"El Jimador Blanco Tequila","Brown-forman Corporation","80","133.69",12
87596,"El Mayor Blanco","Luxco-st Louis","80","66.00",6
87619,"Espolon Blanco","Campari(skyy)","80","80.49",6
87626,"El Tesoro Silver Tequila","Jim Beam Brands","80","228.64",12
87632,"El Zarco Silver","Proximo","80","92.00",12
87643,"Familia Camarena Silver","E And J Gallo Winery","80","120.00",12
87756,"Azul Silver","Proximo","80","130.94",12
87836,"Herradura Blanco Silver Tequila","Brown-forman Corporation","80","239.24",12
87846,"Herradura Blanc Silver Tequila","Brown-forman Corporation","80","239.24",12
87862,"IXA Tequila","Modern Spirits","80","23.25",6
87936,"Juarez Tequila Silver","Luxco-st Louis","80","78.00",12
87937,"Juarez Tequila Silver","Luxco-st Louis","80","83.00",12
87938,"Juarez Tequila Silver","Luxco-st Louis","80","81.00",6
87945,"Kah Blanco Mini","Drinks Americas","80","205.00",48
87946,"Kah Blanco Tequila","Aveniu Brands","80","149.00",6
87997,"La Prima Tequila/white","Luxco-cleveland","80","79.00",12
88017,"Lunazul Blanco Mini","Heaven Hill Distilleries Inc.","80","64.00",6
88018,"Lunazul Blanco","Heaven Hill Distilleries Inc.","80","113.00",12
88019,"Maestro Dobel Diamond Tequila(dno)","Proximo","80","74.99",3
88036,"Margaritaville Silver Tequila","Monsieur Henri Wines Ltd.","80","78.12",12
88037,"Margaritaville Silver Tequila","Monsieur Henri Wines Ltd.","80","94.00",12
88100,"Monte Alban Silver Tequila","Sazerac North America","80","118.48",12
88116,"Milagro Silver Tequila","William Grant And Sons Inc.","80","94.10",6
88120,"Milagro Tequila Sbr Silver","William Grant And Sons Inc.","80","167.00",6
88146,"Montezuma White Tequila","Sazerac North America","80","84.80",12
88147,"Montezuma White Tequila","Sazerac North America","80","84.20",12
88148,"Montezuma White Tequila","Sazerac North America","80","79.20",6
88152,"Sauza 901 Silver","Jim Beam Brands","80","94.44",6
88183,"Olmeca Altos Plata Mini","Pernod Ricard Usa/austin Nichols","80","39.60",12
88186,"Olmeca Altos Plata","Pernod Ricard Usa/austin Nichols","80","68.94",6
88287,"Pancho Villa Tequila Silver","Mccormick Distilling Company","80","67.07",12
88290,"Patron Silver Tequila","The Patron Spirits Company","80","102.00",12
88291,"Patron Tequila Silver Mini","The Patron Spirits Company","80","203.00",10
88294,"Patron Silver Tequila","The Patron Spirits Company","80","168.00",12
88296,"Patron Tequila Silver","The Patron Spirits Company","80","324.00",12
88298,"Patron Tequila Silver","The Patron Spirits Company","80","174.00",3
88300,"Patron Gran Platinum","The Patron Spirits Company","80","315.00",3
88310,"Peligroso Silver","Diageo Americas","80","89.97",6
88350,"Porfidio Plata Tequila","Cruzan International Inc.","80","186.00",6
88381,"Rattlesnake Tequila","Spirits Of The Usa","90","154.80",12
88536,"Sauza Blue Silver","Jim Beam Brands","80","125.92",12
88540,"Hornitos Lime Shot","Jim Beam Brands","70","157.36",12
88543,"Sauza Cien Anos Blanco","Jim Beam Brands","80","126.88",12
88548,"Hornitos Plata","Jim Beam Brands","80","157.36",12
88556,"Sauza Blanco Silver","Jim Beam Brands","80","107.09",12
88557,"Sauza Blanco Silver Tequila","Allied Domecq Spirits And Wine Usa","80","134.32",12
88558,"Sauza Blanco Silver","Jim Beam Brands","80","110.20",6
88566,"Sauza Tres Generaciones Plata","Jim Beam Brands","80","125.96",6
88582,"Silvercoin","Santa Fe Tequila Company","80","121.25",6
88630,"Tarantula Plata 100","Mccormick Distilling Company","100","120.00",12
88686,"Vince Neil Tres Rios Blanco Tequila","Aveniu Brands","80","120.00",6
88737,"Torada Tequila White","Sazerac Co. Inc.","80","79.50",12
887381,"Corazon Blanco Tequila","Sidney Frank Importing Co.","80","118.00",60
88764,"Tortilla White Tequila","White Rock Distilleries Inc.","80","86.95",24
88766,"Tortilla White Tequila","Sazerac Co. Inc.","80","74.38",12
88767,"Tortilla White Tequila","Sazerac Co. Inc.","80","79.60",12
88768,"Tortilla White Tequila","Sazerac Co. Inc.","80","75.80",6
88780,"Tres Agaves Blanco","Trinchero Family Estates","80","91.00",6
888291,"Patron Silver Mini","The Patron Spirits Company","80","203.00",60
88841,"Hornitos Black Barrel","Jim Beam Brands","80","188.88",12
88856,"Viuda De Romero Blanco Tequila","Pernod Ricard Usa/austin Nichols","80","121.67",12
88858,"Wild Shot Silver","Shaw Ross International Importers Ll","43","162.39",6
889191,"Jose Cuervo Especial Reposado Tequila","Proximo","80","93.87",120
889211,"Jose Cuervo Black Medallion Mini","Proximo","80","120.47",60
889238,"Corazon De Agave Reposado Tequila","Sidney Frank Importing Co.","80","148.00",60
89011,"El Toro Gold","Sazerac North America","80","84.26",12
89029,"Avion Anejo","Pernod Ricard Usa/austin Nichols","80","173.94",6
89030,"Avion Reposado","Pernod Ricard Usa/austin Nichols","80","158.94",6
89046,"Aguila Royale Tequila Anejo","Nws Inc Dba Consolidated Dist","80","124.48",12
89079,"Azul Reposado","Proximo","80","130.94",12
89085,"Cruz Del Sol Reposado","Trinchero Family Estates","80","163.00",6
89094,"Corzo Anejo","Bacardi U.s.a. Inc.","80","185.84",6
89099,"Cazadores Anejo","Bacardi U.s.a. Inc.","80","109.96",6
89121,"Cazadores Reposado","Bacardi U.s.a. Inc.","80","164.92",12
89139,"Cabo Wabo Reposado","Campari(skyy)","80","86.16",6
89144,"Corzo Reposado","Bacardi U.s.a. Inc.","80","166.80",6
89150,"Cabrito Reposado","Phillips Beverage Company","80","131.80",12
89154,"Don Julio Reposado","Diageo Americas","80","173.94",6
89159,"Chimayo Reposado Tequila","Nicholas Enterprises","80","149.68",12
89164,"Don Julio 1942","Diageo Americas","80","370.44",6
89165,"Chinaco Anejo Artisan Handblown","Jim Beam Brands","80","169.84",6
89175,"Don Julio Anejo Tequila","Diageo Americas","80","194.94",6
89176,"Don Julio Anejo Tequila","Seagram Americas","80","296.14",12
89177,"Casamigos Reposado","Sidney Frank Importing Co.","80","167.00",6
89178,"El Mayor Anejo Tequila","Luxco-st Louis","80","96.00",6
89182,"El Mayor Reposado","Luxco-st Louis","80","81.00",6
89191,"Jose Cuervo Especial Reposado Tequila Mini","Proximo","80","137.99",12
89193,"Jose Cuervo Especial Reposado Tequila","Proximo","80","143.83",48
89194,"Jose Cuervo Especial Reposado Flask","Proximo","80","131.85",24
89196,"Jose Cuervo Especial Reposado Tequila","Proximo","80","125.87",12
89197,"Jose Cuervo Especial Reposado Tequila","Proximo","80","149.95",12
89198,"Jose Cuervo Especial Reposado Tequila","Proximo","80","121.49",6
89199,"Jose Cuervo Especial Reposado Square","Proximo","80","65.92",12
89200,"Don Julio 70th Anniversary","Diageo Americas","80","194.49",6
89204,"1800 Reposado Tequila","Proximo","80","107.49",12
89206,"1800 Reposado Tequila","Proximo","80","185.49",12
89207,"1800 Reposado","Proximo","80","92.75",6
89208,"1800 Reposado","Proximo","80","134.96",6
89210,"Jose Cuervo Reserva De La Familia","Proximo","80","172.23",3
89211,"Jose Cuervo Black Medallion","Proximo","80","120.47",6
89212,"Jose Cuervo Black Medallion","Proximo","80","149.95",12
89213,"Jose Cuervo Black Medallion","Proximo","80","187.15",12
89215,"Jose Cuervo Tradicional Reposado Tequila","Proximo","80","178.72",12
89216,"Cuervo Tradicional Tequila","Proximo","80","86.37",6
89224,"Corazon De Agave Reposado Tequila","Monsieur Henri Wines Ltd.","80","84.00",6
